Airline,Date,Flight_Duration,Stops,Time_total,class_type,Flight_price
Spirit Airlines,2023-12-01,12h 44mBOS-ORD,1 stop,9:44 pm – 9:28 am+1,Economy,$82
American Airlines,2023-12-01,2h 48mBOS-ORD,nonstop,6:52 am – 8:40 am,Basic Economy,$89
Spirit Airlines,2023-12-01,12h 44mBOS-ORD,1 stop,9:44 pm – 9:28 am+1,Economy,$82
JetBlue,2023-12-01,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$109
United Airlines,2023-12-01,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$106
JetBlue,2023-12-01,3h 00mBOS-ORD,nonstop,7:05 am – 9:05 am,Blue Basic,$119
Delta,2023-12-01,3h 05mBOS-ORD,nonstop,5:45 pm – 7:50 pm,Basic Economy,$139
Delta,2023-12-01,2h 59mBOS-ORD,nonstop,6:05 am – 8:04 am,Basic Economy,$139
American Airlines,2023-12-01,2h 58mBOS-ORD,nonstop,5:40 pm – 7:38 pm,Basic Economy,$144
United Airlines,2023-12-01,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$142
United Airlines,2023-12-01,2h 57mBOS-ORD,nonstop,4:16 pm – 6:13 pm,Basic Economy,$143
Delta,2023-12-01,2h 55mBOS-ORD,nonstop,2:25 pm – 4:20 pm,Basic Economy,$149
United Airlines,2023-12-01,2h 57mBOS-ORD,nonstop,11:35 am – 1:32 pm,Basic Economy,$169
Delta,2023-12-01,3h 04mBOS-ORD,nonstop,10:20 am – 12:24 pm,Basic Economy,$179
United Airlines,2023-12-01,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$191
American Airlines,2023-12-01,3h 02mBOS-ORD,nonstop,3:30 pm – 5:32 pm,Main Cabin,$219
American Airlines,2023-12-01,2h 59mBOS-ORD,nonstop,8:30 am – 10:29 am,Main Cabin,$219
Spirit Airlines,2023-12-02,12h 44mBOS-ORD,1 stop,9:44 pm – 9:28 am+1,Economy,$82
JetBlue,2023-12-02,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$89
Spirit Airlines,2023-12-02,12h 44mBOS-ORD,1 stop,9:44 pm – 9:28 am+1,Economy,$82
JetBlue,2023-12-02,3h 00mBOS-ORD,nonstop,7:05 am – 9:05 am,Blue Basic,$89
American Airlines,2023-12-02,2h 59mBOS-ORD,nonstop,8:30 am – 10:29 am,Basic Economy,$89
American Airlines,2023-12-02,2h 58mBOS-ORD,nonstop,5:40 pm – 7:38 pm,Basic Economy,$89
United Airlines,2023-12-02,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$89
United Airlines,2023-12-02,2h 57mBOS-ORD,nonstop,4:16 pm – 6:13 pm,Basic Economy,$89
American Airlines,2023-12-02,2h 48mBOS-ORD,nonstop,6:52 am – 8:40 am,Basic Economy,$89
United Airlines,2023-12-02,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$89
United Airlines,2023-12-02,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$89
United Airlines,2023-12-02,2h 57mBOS-ORD,nonstop,11:32 am – 1:29 pm,Basic Economy,$89
American Airlines,2023-12-02,3h 02mBOS-ORD,nonstop,3:30 pm – 5:32 pm,Basic Economy,$119
Delta,2023-12-02,3h 05mBOS-ORD,nonstop,5:45 pm – 7:50 pm,Basic Economy,$139
Delta,2023-12-02,2h 56mBOS-ORD,nonstop,2:10 pm – 4:06 pm,Basic Economy,$139
Delta,2023-12-02,2h 55mBOS-ORD,nonstop,9:55 am – 11:50 am,Basic Economy,$139
JetBlue,2023-12-02,4h 53mBOS-ORD,1 stop,1:30 pm – 5:23 pm,Blue Basic,$99
Spirit Airlines,2023-12-03,12h 59mBOS-ORD,1 stop,9:44 pm – 9:43 am+1,Economy,$82
JetBlue,2023-12-03,3h 00mBOS-ORD,nonstop,7:05 am – 9:05 am,Blue Basic,$89
Spirit Airlines,2023-12-03,12h 59mBOS-ORD,1 stop,9:44 pm – 9:43 am+1,Economy,$82
American Airlines,2023-12-03,2h 59mBOS-ORD,nonstop,8:30 am – 10:29 am,Basic Economy,$99
United Airlines,2023-12-03,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$89
United Airlines,2023-12-03,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$89
American Airlines,2023-12-03,2h 48mBOS-ORD,nonstop,6:59 am – 8:47 am,Basic Economy,$99
United Airlines,2023-12-03,2h 57mBOS-ORD,nonstop,11:36 am – 1:33 pm,Basic Economy,$117
United Airlines,2023-12-03,2h 57mBOS-ORD,nonstop,8:55 pm – 10:52 pm,Basic Economy,$117
Delta,2023-12-03,3h 05mBOS-ORD,nonstop,5:45 pm – 7:50 pm,Basic Economy,$139
Delta,2023-12-03,3h 04mBOS-ORD,nonstop,10:20 am – 12:24 pm,Basic Economy,$139
JetBlue,2023-12-03,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$134
United Airlines,2023-12-03,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$169
American Airlines,2023-12-03,3h 02mBOS-ORD,nonstop,3:30 pm – 5:32 pm,Basic Economy,$179
American Airlines,2023-12-03,2h 58mBOS-ORD,nonstop,5:40 pm – 7:38 pm,Basic Economy,$179
United Airlines,2023-12-03,2h 57mBOS-ORD,nonstop,3:01 pm – 4:58 pm,Basic Economy,$181
Delta,2023-12-03,2h 55mBOS-ORD,nonstop,2:25 pm – 4:20 pm,Basic Economy,$179
Frontier,2023-12-04,10h 08mBOS-MDW,1 stop,8:33 am – 5:41 pm,Economy,$70
JetBlue,2023-12-04,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$89
Frontier,2023-12-04,10h 08mBOS-MDW,1 stop,8:33 am – 5:41 pm,Economy,$57
JetBlue,2023-12-04,3h 00mBOS-ORD,nonstop,7:05 am – 9:05 am,Blue Basic,$89
American Airlines,2023-12-04,2h 59mBOS-ORD,nonstop,8:30 am – 10:29 am,Basic Economy,$89
United Airlines,2023-12-04,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$89
American Airlines,2023-12-04,2h 58mBOS-ORD,nonstop,5:40 pm – 7:38 pm,Basic Economy,$89
United Airlines,2023-12-04,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$89
American Airlines,2023-12-04,2h 48mBOS-ORD,nonstop,6:52 am – 8:40 am,Basic Economy,$89
American Airlines,2023-12-04,3h 02mBOS-ORD,nonstop,3:30 pm – 5:32 pm,Basic Economy,$119
United Airlines,2023-12-04,2h 57mBOS-ORD,nonstop,4:16 pm – 6:13 pm,Basic Economy,$112
United Airlines,2023-12-04,2h 57mBOS-ORD,nonstop,11:35 am – 1:32 pm,Basic Economy,$117
United Airlines,2023-12-04,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$117
Delta,2023-12-04,3h 05mBOS-ORD,nonstop,5:45 pm – 7:50 pm,Basic Economy,$139
Delta,2023-12-04,2h 59mBOS-ORD,nonstop,6:05 am – 8:04 am,Basic Economy,$139
Delta,2023-12-04,2h 55mBOS-ORD,nonstop,2:25 pm – 4:20 pm,Basic Economy,$139
American Airlines,2023-12-04,3h 02mBOS-ORD,nonstop,12:22 pm – 2:24 pm,Main Cabin,$219
Spirit Airlines,2023-12-05,7h 39mBOS-ORD,1 stop,12:30 pm – 7:09 pm,Economy,$82
American Airlines,2023-12-05,3h 07mBOS-ORD,nonstop,3:30 pm – 5:37 pm,Basic Economy,$79
Spirit Airlines,2023-12-05,14h 13mBOS-ORD,1 stop,9:37 pm – 10:50 am+1,Economy,$60
American Airlines,2023-12-05,3h 07mBOS-ORD,nonstop,7:50 am – 9:57 am,Basic Economy,$79
JetBlue,2023-12-05,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$79
American Airlines,2023-12-05,3h 05mBOS-ORD,nonstop,6:50 am – 8:55 am,Basic Economy,$79
JetBlue,2023-12-05,3h 00mBOS-ORD,nonstop,7:05 am – 9:05 am,Blue Basic,$79
United Airlines,2023-12-05,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$79
United Airlines,2023-12-05,2h 57mBOS-ORD,nonstop,4:16 pm – 6:13 pm,Basic Economy,$79
United Airlines,2023-12-05,2h 57mBOS-ORD,nonstop,11:35 am – 1:32 pm,Basic Economy,$79
United Airlines,2023-12-05,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$79
United Airlines,2023-12-05,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$79
Delta,2023-12-05,3h 05mBOS-ORD,nonstop,5:45 pm – 7:50 pm,Basic Economy,$104
Delta,2023-12-05,2h 59mBOS-ORD,nonstop,6:05 am – 8:04 am,Basic Economy,$104
Delta,2023-12-05,2h 55mBOS-ORD,nonstop,2:25 pm – 4:20 pm,Basic Economy,$104
American Airlines,2023-12-05,3h 07mBOS-ORD,nonstop,12:22 pm – 2:29 pm,Basic Economy,$119
Delta,2023-12-05,3h 04mBOS-ORD,nonstop,10:20 am – 12:24 pm,Basic Economy,$119
Frontier,2023-12-06,10h 08mBOS-MDW,1 stop,8:33 am – 5:41 pm,Economy,$60
American Airlines,2023-12-06,3h 07mBOS-ORD,nonstop,7:50 am – 9:57 am,Basic Economy,$79
Frontier,2023-12-06,10h 08mBOS-MDW,1 stop,8:33 am – 5:41 pm,Economy,$45
American Airlines,2023-12-06,3h 04mBOS-ORD,nonstop,6:50 am – 8:54 am,Basic Economy,$79
JetBlue,2023-12-06,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$79
JetBlue,2023-12-06,2h 59mBOS-ORD,nonstop,7:00 am – 8:59 am,Blue Basic,$79
United Airlines,2023-12-06,2h 57mBOS-ORD,nonstop,11:35 am – 1:32 pm,Basic Economy,$79
United Airlines,2023-12-06,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$79
United Airlines,2023-12-06,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$79
Delta,2023-12-06,3h 05mBOS-ORD,nonstop,5:45 pm – 7:50 pm,Basic Economy,$104
Delta,2023-12-06,3h 04mBOS-ORD,nonstop,10:20 am – 12:24 pm,Basic Economy,$104
Delta,2023-12-06,2h 59mBOS-ORD,nonstop,6:05 am – 8:04 am,Basic Economy,$104
Delta,2023-12-06,2h 55mBOS-ORD,nonstop,2:25 pm – 4:20 pm,Basic Economy,$104
American Airlines,2023-12-06,3h 07mBOS-ORD,nonstop,12:22 pm – 2:29 pm,Basic Economy,$119
United Airlines,2023-12-06,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$115
United Airlines,2023-12-06,2h 57mBOS-ORD,nonstop,4:16 pm – 6:13 pm,Basic Economy,$164
Spirit Airlines,2023-12-07,12h 56mBOS-ORD,1 stop,9:47 pm – 9:43 am+1,Economy,$82
American Airlines,2023-12-07,3h 07mBOS-ORD,nonstop,7:50 am – 9:57 am,Basic Economy,$84
Spirit Airlines,2023-12-07,14h 13mBOS-ORD,1 stop,9:37 pm – 10:50 am+1,Economy,$74
American Airlines,2023-12-07,3h 04mBOS-ORD,nonstop,6:50 am – 8:54 am,Basic Economy,$84
JetBlue,2023-12-07,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$84
United Airlines,2023-12-07,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$89
JetBlue,2023-12-07,2h 59mBOS-ORD,nonstop,7:00 am – 8:59 am,Blue Basic,$94
American Airlines,2023-12-07,3h 07mBOS-ORD,nonstop,12:22 pm – 2:29 pm,Basic Economy,$119
Delta,2023-12-07,3h 05mBOS-ORD,nonstop,8:25 pm – 10:30 pm,Basic Economy,$119
Delta,2023-12-07,2h 59mBOS-ORD,nonstop,6:05 am – 8:04 am,Basic Economy,$119
Delta,2023-12-07,2h 58mBOS-ORD,nonstop,10:05 am – 12:03 pm,Basic Economy,$119
United Airlines,2023-12-07,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$119
Delta,2023-12-07,2h 57mBOS-ORD,nonstop,2:30 pm – 4:27 pm,Basic Economy,$119
American Airlines,2023-12-07,3h 07mBOS-ORD,nonstop,3:30 pm – 5:37 pm,Basic Economy,$144
Delta,2023-12-07,3h 06mBOS-ORD,nonstop,5:25 pm – 7:31 pm,Basic Economy,$149
United Airlines,2023-12-07,2h 57mBOS-ORD,nonstop,11:35 am – 1:32 pm,Basic Economy,$148
American Airlines,2023-12-07,3h 07mBOS-ORD,nonstop,5:49 pm – 7:56 pm,Main Cabin,$219
United Airlines,2023-12-08,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$89
Spirit Airlines,2023-12-08,14h 13mBOS-ORD,1 stop,9:37 pm – 10:50 am+1,Economy,$60
United Airlines,2023-12-08,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$89
American Airlines,2023-12-08,3h 07mBOS-ORD,nonstop,5:49 pm – 7:56 pm,Basic Economy,$84
American Airlines,2023-12-08,3h 04mBOS-ORD,nonstop,6:50 am – 8:54 am,Basic Economy,$84
American Airlines,2023-12-08,3h 07mBOS-ORD,nonstop,7:50 am – 9:57 am,Basic Economy,$84
United Airlines,2023-12-08,2h 57mBOS-ORD,nonstop,4:16 pm – 6:13 pm,Basic Economy,$119
JetBlue,2023-12-08,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$84
JetBlue,2023-12-08,2h 59mBOS-ORD,nonstop,7:00 am – 8:59 am,Blue Basic,$109
Delta,2023-12-08,2h 58mBOS-ORD,nonstop,10:05 am – 12:03 pm,Basic Economy,$119
American Airlines,2023-12-08,3h 07mBOS-ORD,nonstop,3:30 pm – 5:37 pm,Basic Economy,$144
Delta,2023-12-08,3h 02mBOS-ORD,nonstop,8:20 pm – 10:22 pm,Basic Economy,$119
Delta,2023-12-08,2h 59mBOS-ORD,nonstop,6:05 am – 8:04 am,Basic Economy,$119
Delta,2023-12-08,3h 06mBOS-ORD,nonstop,5:25 pm – 7:31 pm,Basic Economy,$119
American Airlines,2023-12-08,4h 35mBOS-ORD,1 stop,7:43 am – 11:18 am,Basic Economy,$104
United Airlines,2023-12-08,2h 57mBOS-ORD,nonstop,11:35 am – 1:32 pm,Basic Economy,$169
United Airlines,2023-12-09,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$79
Spirit Airlines,2023-12-09,14h 13mBOS-ORD,1 stop,9:37 pm – 10:50 am+1,Economy,$74
United Airlines,2023-12-09,2h 57mBOS-ORD,nonstop,4:16 pm – 6:13 pm,Basic Economy,$79
JetBlue,2023-12-09,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$79
United Airlines,2023-12-09,2h 57mBOS-ORD,nonstop,11:32 am – 1:29 pm,Basic Economy,$79
United Airlines,2023-12-09,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$79
United Airlines,2023-12-09,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$79
JetBlue,2023-12-09,2h 59mBOS-ORD,nonstop,7:00 am – 8:59 am,Blue Basic,$79
American Airlines,2023-12-09,3h 07mBOS-ORD,nonstop,3:30 pm – 5:37 pm,Basic Economy,$79
American Airlines,2023-12-09,3h 07mBOS-ORD,nonstop,7:50 am – 9:57 am,Basic Economy,$79
American Airlines,2023-12-09,3h 13mBOS-ORD,nonstop,6:15 am – 8:28 am,Basic Economy,$79
American Airlines,2023-12-09,3h 12mBOS-ORD,nonstop,12:31 pm – 2:43 pm,Basic Economy,$89
Delta,2023-12-09,2h 57mBOS-ORD,nonstop,2:00 pm – 3:57 pm,Basic Economy,$104
Delta,2023-12-09,2h 58mBOS-ORD,nonstop,9:35 am – 11:33 am,Basic Economy,$104
Delta,2023-12-09,3h 07mBOS-ORD,nonstop,5:00 pm – 7:07 pm,Basic Economy,$104
JetBlue,2023-12-09,4h 56mBOS-ORD,1 stop,1:26 pm – 5:22 pm,Blue Basic,$89
JetBlue,2023-12-10,2h 59mBOS-ORD,nonstop,7:00 am – 8:59 am,Blue Basic,$84
Spirit Airlines,2023-12-10,14h 13mBOS-ORD,1 stop,9:37 pm – 10:50 am+1,Economy,$81
United Airlines,2023-12-10,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$89
American Airlines,2023-12-10,3h 04mBOS-ORD,nonstop,6:50 am – 8:54 am,Basic Economy,$94
American Airlines,2023-12-10,3h 07mBOS-ORD,nonstop,7:50 am – 9:57 am,Basic Economy,$94
United Airlines,2023-12-10,2h 57mBOS-ORD,nonstop,8:55 pm – 10:52 pm,Basic Economy,$119
JetBlue,2023-12-10,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$134
United Airlines,2023-12-10,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$169
United Airlines,2023-12-10,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$178
American Airlines,2023-12-10,4h 35mBOS-ORD,1 stop,7:43 am – 11:18 am,Basic Economy,$114
Delta,2023-12-10,2h 58mBOS-ORD,nonstop,10:05 am – 12:03 pm,Basic Economy,$149
Delta,2023-12-10,3h 06mBOS-ORD,nonstop,5:25 pm – 7:31 pm,Basic Economy,$149
American Airlines,2023-12-10,3h 07mBOS-ORD,nonstop,5:49 pm – 7:56 pm,Basic Economy,$179
Delta,2023-12-10,2h 57mBOS-ORD,nonstop,2:30 pm – 4:27 pm,Basic Economy,$179
American Airlines,2023-12-10,5h 27mBOS-ORD,1 stop,7:00 am – 11:27 am,Basic Economy,$114
Delta,2023-12-10,3h 05mBOS-ORD,nonstop,8:25 pm – 10:30 pm,Basic Economy,$179
United Airlines,2023-12-11,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$89
Frontier,2023-12-11,10h 08mBOS-MDW,1 stop,8:33 am – 5:41 pm,Economy,$55
American Airlines,2023-12-11,3h 04mBOS-ORD,nonstop,6:50 am – 8:54 am,Basic Economy,$84
American Airlines,2023-12-11,3h 07mBOS-ORD,nonstop,7:50 am – 9:57 am,Basic Economy,$84
United Airlines,2023-12-11,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$89
United Airlines,2023-12-11,2h 57mBOS-ORD,nonstop,4:16 pm – 6:13 pm,Basic Economy,$107
JetBlue,2023-12-11,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$84
JetBlue,2023-12-11,2h 59mBOS-ORD,nonstop,7:00 am – 8:59 am,Blue Basic,$84
United Airlines,2023-12-11,2h 57mBOS-ORD,nonstop,11:35 am – 1:32 pm,Basic Economy,$119
United Airlines,2023-12-11,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$119
American Airlines,2023-12-11,3h 07mBOS-ORD,nonstop,12:22 pm – 2:29 pm,Basic Economy,$119
American Airlines,2023-12-11,4h 36mBOS-ORD,1 stop,7:43 am – 11:19 am,Basic Economy,$104
Delta,2023-12-11,2h 57mBOS-ORD,nonstop,2:30 pm – 4:27 pm,Basic Economy,$119
Delta,2023-12-11,3h 02mBOS-ORD,nonstop,8:20 pm – 10:22 pm,Basic Economy,$119
Delta,2023-12-11,3h 06mBOS-ORD,nonstop,5:25 pm – 7:31 pm,Basic Economy,$119
Delta,2023-12-11,2h 59mBOS-ORD,nonstop,6:05 am – 8:04 am,Basic Economy,$119
United Airlines,2023-12-12,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$79
Spirit Airlines,2023-12-12,14h 13mBOS-ORD,1 stop,9:37 pm – 10:50 am+1,Economy,$60
United Airlines,2023-12-12,2h 57mBOS-ORD,nonstop,4:16 pm – 6:13 pm,Basic Economy,$79
JetBlue,2023-12-12,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$79
United Airlines,2023-12-12,2h 57mBOS-ORD,nonstop,11:35 am – 1:32 pm,Basic Economy,$79
United Airlines,2023-12-12,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$79
United Airlines,2023-12-12,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$79
JetBlue,2023-12-12,2h 59mBOS-ORD,nonstop,7:00 am – 8:59 am,Blue Basic,$79
American Airlines,2023-12-12,3h 07mBOS-ORD,nonstop,3:30 pm – 5:37 pm,Basic Economy,$79
American Airlines,2023-12-12,3h 04mBOS-ORD,nonstop,6:50 am – 8:54 am,Basic Economy,$79
American Airlines,2023-12-12,3h 07mBOS-ORD,nonstop,7:50 am – 9:57 am,Basic Economy,$79
American Airlines,2023-12-12,3h 07mBOS-ORD,nonstop,12:22 pm – 2:29 pm,Basic Economy,$119
Delta,2023-12-12,2h 57mBOS-ORD,nonstop,2:30 pm – 4:27 pm,Basic Economy,$104
Delta,2023-12-12,2h 58mBOS-ORD,nonstop,10:05 am – 12:03 pm,Basic Economy,$104
Delta,2023-12-12,3h 05mBOS-ORD,nonstop,8:25 pm – 10:30 pm,Basic Economy,$104
Delta,2023-12-12,2h 59mBOS-ORD,nonstop,6:05 am – 8:04 am,Basic Economy,$104
United Airlines,2023-12-13,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$79
Frontier,2023-12-13,10h 08mBOS-MDW,1 stop,8:33 am – 5:41 pm,Economy,$45
JetBlue,2023-12-13,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$79
United Airlines,2023-12-13,2h 57mBOS-ORD,nonstop,11:35 am – 1:32 pm,Basic Economy,$79
United Airlines,2023-12-13,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$79
United Airlines,2023-12-13,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$79
JetBlue,2023-12-13,2h 59mBOS-ORD,nonstop,7:00 am – 8:59 am,Blue Basic,$79
American Airlines,2023-12-13,3h 04mBOS-ORD,nonstop,6:50 am – 8:54 am,Basic Economy,$79
American Airlines,2023-12-13,3h 07mBOS-ORD,nonstop,7:50 am – 9:57 am,Basic Economy,$79
United Airlines,2023-12-13,2h 57mBOS-ORD,nonstop,4:16 pm – 6:13 pm,Basic Economy,$115
American Airlines,2023-12-13,3h 07mBOS-ORD,nonstop,3:30 pm – 5:37 pm,Basic Economy,$119
American Airlines,2023-12-13,3h 07mBOS-ORD,nonstop,12:22 pm – 2:29 pm,Basic Economy,$119
Delta,2023-12-13,2h 57mBOS-ORD,nonstop,2:30 pm – 4:27 pm,Basic Economy,$104
Delta,2023-12-13,3h 02mBOS-ORD,nonstop,8:20 pm – 10:22 pm,Basic Economy,$104
Delta,2023-12-13,2h 58mBOS-ORD,nonstop,10:05 am – 12:03 pm,Basic Economy,$104
Delta,2023-12-13,2h 59mBOS-ORD,nonstop,6:05 am – 8:04 am,Basic Economy,$104
JetBlue,2023-12-14,2h 59mBOS-ORD,nonstop,7:00 am – 8:59 am,Blue Basic,$84
Frontier,2023-12-14,25h 09mBOS-ORD,1 stop,9:06 am – 9:15 am+1,Economy,$55
American Airlines,2023-12-14,3h 07mBOS-ORD,nonstop,5:49 pm – 7:56 pm,Basic Economy,$84
American Airlines,2023-12-14,3h 04mBOS-ORD,nonstop,6:50 am – 8:54 am,Basic Economy,$84
American Airlines,2023-12-14,3h 07mBOS-ORD,nonstop,7:50 am – 9:57 am,Basic Economy,$84
United Airlines,2023-12-14,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$107
United Airlines,2023-12-14,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$107
United Airlines,2023-12-14,2h 57mBOS-ORD,nonstop,11:35 am – 1:32 pm,Basic Economy,$119
Delta,2023-12-14,2h 59mBOS-ORD,nonstop,6:05 am – 8:04 am,Basic Economy,$89
Delta,2023-12-14,2h 58mBOS-ORD,nonstop,10:05 am – 12:03 pm,Basic Economy,$94
JetBlue,2023-12-14,3h 01mBOS-ORD,nonstop,4:54 pm – 6:55 pm,Blue Basic,$134
JetBlue,2023-12-14,4h 56mBOS-ORD,1 stop,7:06 am – 11:02 am,Blue Basic,$94
American Airlines,2023-12-14,4h 46mBOS-ORD,1 stop,8:30 am – 12:16 pm,Basic Economy,$104
American Airlines,2023-12-14,5h 20mBOS-ORD,1 stop,10:05 am – 2:25 pm,Basic Economy,$102
American Airlines,2023-12-14,5h 41mBOS-ORD,1 stop,8:40 am – 1:21 pm,Basic Economy,$104
American Airlines,2023-12-14,5h 47mBOS-ORD,1 stop,8:00 am – 12:47 pm,Basic Economy,$102
American Airlines,2023-12-15,3h 04mBOS-ORD,nonstop,6:50 am – 8:54 am,Basic Economy,$119
Spirit Airlines,2023-12-15,14h 13mBOS-ORD,1 stop,9:37 pm – 10:50 am+1,Economy,$60
JetBlue,2023-12-15,3h 00mBOS-ORD,nonstop,6:00 am – 8:00 am,Blue Basic,$134
United Airlines,2023-12-15,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$143
United Airlines,2023-12-15,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$159
American Airlines,2023-12-15,5h 08mBOS-ORD,1 stop,6:24 pm – 10:32 pm,Basic Economy,$104
American Airlines,2023-12-15,3h 07mBOS-ORD,nonstop,5:49 pm – 7:56 pm,Basic Economy,$169
United Airlines,2023-12-15,2h 57mBOS-ORD,nonstop,11:35 am – 1:32 pm,Basic Economy,$168
American Airlines,2023-12-15,3h 07mBOS-ORD,nonstop,7:50 am – 9:57 am,Basic Economy,$169
Delta,2023-12-15,3h 05mBOS-ORD,nonstop,8:20 pm – 10:25 pm,Basic Economy,$149
American Airlines,2023-12-15,4h 35mBOS-ORD,1 stop,7:43 am – 11:18 am,Basic Economy,$129
United Airlines,2023-12-15,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$192
American Airlines,2023-12-15,6h 18mBOS-ORD,1 stop,10:41 am – 3:59 pm,Basic Economy,$104
American Airlines,2023-12-15,5h 47mBOS-ORD,1 stop,8:00 am – 12:47 pm,Basic Economy,$127
Spirit Airlines,2023-12-15,7h 20mBOS-ORD,1 stop,12:49 pm – 7:09 pm,Economy,$75
American Airlines,2023-12-15,3h 07mBOS-ORD,nonstop,3:30 pm – 5:37 pm,Main Cabin,$219
JetBlue,2023-12-16,3h 00mBOS-ORD,nonstop,6:00 am – 8:00 am,Blue Basic,$94
Spirit Airlines,2023-12-16,14h 13mBOS-ORD,1 stop,9:37 pm – 10:50 am+1,Economy,$60
United Airlines,2023-12-16,2h 57mBOS-ORD,nonstop,6:28 pm – 8:25 pm,Basic Economy,$115
United Airlines,2023-12-16,2h 57mBOS-ORD,nonstop,6:00 am – 7:57 am,Basic Economy,$115
JetBlue,2023-12-16,3h 00mBOS-ORD,nonstop,1:45 pm – 3:45 pm,Blue Basic,$119
American Airlines,2023-12-16,3h 13mBOS-ORD,nonstop,6:15 am – 8:28 am,Basic Economy,$119
United Airlines,2023-12-16,2h 57mBOS-ORD,nonstop,9:46 am – 11:43 am,Basic Economy,$143
American Airlines,2023-12-16,3h 07mBOS-ORD,nonstop,3:30 pm – 5:37 pm,Basic Economy,$144
American Airlines,2023-12-16,3h 07mBOS-ORD,nonstop,7:50 am – 9:57 am,Basic Economy,$144
